Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Epoch Duration
1,3.7815799738498446,3.7278135617574057,,0.03265442125869466,0.034119278779472954,,273.49054193496704
2,3.7335165460058986,3.686941401163737,,0.03498687992002999,0.036893203883495145,,279.8164656162262
3,3.690406068842462,3.648191388448079,,0.03848556791203299,0.04271844660194175,,277.9184868335724
4,3.6528949230275254,3.6182538827260333,,0.04385855304260902,0.049098474341192785,,278.69720101356506
5,3.617331991804407,3.5881152629852293,,0.04781540255737432,0.055755894590846046,,263.802042722702
6,2.871521234512329,2.316616161664327,,0.25240534799450204,0.41525658807212207,,262.4191460609436
7,1.9374499714120905,1.707659165064494,,0.5157232704402516,0.5814147018030513,,260.02126002311707
8,1.4233308637395818,1.3326916297276814,,0.6572118788787538,0.680998613037448,,268.07669043540955
9,1.0833990795815245,1.0658892552057901,,0.7515515015202633,0.750624133148405,,258.741824388504
10,0.8405954983640225,0.8973303437232971,,0.8193594068890833,0.8002773925104022,,259.4934802055359
11,0.663423108293655,0.7428297360738119,,0.866258486400933,0.8413314840499306,,256.3809790611267
12,0.5337377038407833,0.6559010028839112,,0.9012037152734391,0.8643550624133148,,260.1967558860779
13,0.44301073094631765,0.5753374884525935,,0.9270273647382231,0.8887656033287101,,257.4301288127899
14,0.38021283073628204,0.5106531272331873,,0.9436044816527136,0.9031900138696255,,256.2181074619293
15,0.3341811140801044,0.4722857336203257,,0.9535174309633887,0.9148404993065187,,263.53558254241943
16,0.3042825292399589,0.4598873883485794,,0.9611395726602524,0.9198335644937586,,262.00784254074097
17,0.2860879915508818,0.43525011042753853,,0.9661376983631138,0.9251040221914009,,262.6804029941559
18,0.2734675721285191,0.4275441884994507,,0.9676787871214961,0.9278779472954231,,260.57452154159546
19,0.2657442115088727,0.42148372034231824,,0.9699695947353076,0.9295423023578363,,260.79413509368896
20,0.263826219166847,0.4224983870983124,0.39603822981869735,0.9712607772085468,0.9287101248266297,0.9257302216351093,258.2533688545227
